T_pList and averageCurrent:
80, -0.0168125
154, -0.008758116883116882
229, -0.006959606986899563
304, -0.0027302631578947365
378, -0.0031514550264550275
453, -0.002030905077262693
528, -0.0011197916666666667
603, -0.000910033167495854
677, -0.0025886262924667645
752, -0.0009940159574468083
827, -0.00033252720677146247
902, -2.4944567627494172e-05
976, -0.0017853483606557377
1051, -0.0015247383444338726
1126, -0.001490896980461812
1201, -0.0007139883430474604
1275, -0.0016480392156862746
1350, -0.0010805555555555555
1425, -0.0012464912280701753
1500, -0.0011616666666666665
