T_pList and averageCurrent:
1, 0.115
21, 0.005952380952380955
41, 0.003658536585365853
62, 0.00096774193548387
82, 0.0011585365853658534
103, 0.0009223300970873784
123, 0.0007723577235772356
143, 0.001433566433566434
164, -0.008353658536585366
184, 0.0005163043478260868
205, -0.014121951219512196
225, -0.0038888888888888888
245, -0.007816326530612247
266, -0.012781954887218047
286, -0.006520979020979022
307, -0.012557003257328992
327, -0.010489296636085626
347, -0.011167146974063402
368, -0.018777173913043482
388, -0.016520618556701033
409, -0.00832518337408313
429, -0.011340326340326343
449, -0.010824053452115812
470, -0.013702127659574471
490, -0.019306122448979595
511, -0.010499021526418788
531, -0.009322033898305083
552, -0.014356884057971015
572, -0.009440559440559443
592, -0.014121621621621621
613, -0.00969004893964111
633, -0.01811216429699842
654, -0.012821100917431195
674, -0.016973293768545995
694, -0.012096541786743518
715, -0.006062937062937064
735, -0.012197278911564626
756, -0.01642195767195767
776, -0.014059278350515467
796, -0.00858040201005025
817, -0.011554467564259483
837, -0.008906810035842296
858, -0.012115384615384616
878, -0.013610478359908884
898, -0.0088641425389755
919, -0.010783460282916211
939, -0.009526091586794462
960, -0.0145625
980, -0.010056122448979594
1001, -0.010464535464535463
